,Type,ST,STNAME,COUNTY/METRO,Total households (2012-2016),Renter households (2012-2016),% of total households that are renters (2012-2016),Minimum wage,Estimated mean renter wage,SSI monthly payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI ,Estimated renter median income,Rent affordable at renter median income,Rent affordable at 30% of AMI,Rent affordable with full-time job paying min wage,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
COUNTY,4,KY,Kentucky,McCreary County,6252,1869,30,7.25,8.55,750,443,466,620,841,844,26200,7860,13514,338,197,377,444,225,17720,18640,24800,33640,33760,8.52,8.96,11.92,16.17,16.23,47,49,66,89,90,40,42,56,76,76
COUNTY,4,KY,Kentucky,McLean County,3751,765,20,7.25,10.35,750,534,537,713,902,1112,62300,18690,24842,621,467,377,538,225,21360,21480,28520,36080,44480,10.27,10.33,13.71,17.35,21.38,57,57,76,96,118,40,40,53,67,83
COUNTY,4,KY,Kentucky,Madison County,32409,13146,41,7.25,10.71,750,496,525,698,997,1058,65900,19770,26495,662,494,377,557,225,19840,21000,27920,39880,42320,9.54,10.1,13.42,19.17,20.35,53,56,74,106,112,36,38,50,72,76
COUNTY,4,KY,Kentucky,Magoffin County,5027,1448,29,7.25,7.37,750,443,532,620,824,844,38000,11400,16677,417,285,377,383,225,17720,21280,24800,32960,33760,8.52,10.23,11.92,15.85,16.23,47,56,66,87,90,46,56,65,86,88
COUNTY,4,KY,Kentucky,Marion County,7438,2009,27,7.25,11.38,750,453,552,634,795,1117,50000,15000,25026,626,375,377,592,225,18120,22080,25360,31800,44680,8.71,10.62,12.19,15.29,21.48,48,59,67,84,119,31,37,43,54,75
COUNTY,4,KY,Kentucky,Marshall County,12856,2818,22,7.25,13.89,750,509,620,712,893,1029,59600,17880,26601,665,447,377,722,225,20360,24800,28480,35720,41160,9.79,11.92,13.69,17.17,19.79,54,66,76,95,109,28,34,39,49,57
COUNTY,4,KY,Kentucky,Martin County,4295,1221,28,7.25,9.33,750,443,540,620,902,1092,35300,10590,15554,389,265,377,485,225,17720,21600,24800,36080,43680,8.52,10.38,11.92,17.35,21,47,57,66,96,116,37,45,51,74,90
COUNTY,4,KY,Kentucky,Mason County,6804,2331,34,7.25,11.72,750,460,505,643,843,889,49800,14940,23474,587,374,377,609,225,18400,20200,25720,33720,35560,8.85,9.71,12.37,16.21,17.1,49,54,68,89,94,30,33,42,55,58
COUNTY,4,KY,Kentucky,Meade County,10631,2961,28,7.25,13.28,750,492,551,724,1053,1275,60500,18150,36551,914,454,377,690,225,19680,22040,28960,42120,51000,9.46,10.6,13.92,20.25,24.52,52,58,77,112,135,29,32,42,61,74
COUNTY,4,KY,Kentucky,Menifee County,2521,509,20,7.25,7.86,750,443,466,620,777,844,40000,12000,18277,457,300,377,409,225,17720,18640,24800,31080,33760,8.52,8.96,11.92,14.94,16.23,47,49,66,82,90,43,46,61,76,83
COUNTY,4,KY,Kentucky,Mercer County,8813,2593,29,7.25,13.14,750,459,483,642,866,1131,57600,17280,26211,655,432,377,683,225,18360,19320,25680,34640,45240,8.83,9.29,12.35,16.65,21.75,49,51,68,92,120,27,28,38,51,66
COUNTY,4,KY,Kentucky,Metcalfe County,3922,885,23,7.25,9.08,750,443,540,620,777,844,44600,13380,19546,489,335,377,472,225,17720,21600,24800,31080,33760,8.52,10.38,11.92,14.94,16.23,47,57,66,82,90,38,46,53,66,71
COUNTY,4,KY,Kentucky,Monroe County,4421,1188,27,7.25,8.76,750,443,466,620,809,844,41500,12450,20606,515,311,377,455,225,17720,18640,24800,32360,33760,8.52,8.96,11.92,15.56,16.23,47,49,66,86,90,39,41,54,71,74
COUNTY,4,KY,Kentucky,Montgomery County,10212,3649,36,7.25,11.65,750,495,520,692,894,1118,49200,14760,26574,664,369,377,606,225,19800,20800,27680,35760,44720,9.52,10,13.31,17.19,21.5,53,55,73,95,119,33,34,46,59,74
COUNTY,4,KY,Kentucky,Morgan County,4946,1348,27,7.25,10.3,750,525,540,620,782,962,40400,12120,21008,525,303,377,536,225,21000,21600,24800,31280,38480,10.1,10.38,11.92,15.04,18.5,56,57,66,83,102,39,40,46,58,72
COUNTY,4,KY,Kentucky,Muhlenberg County,11510,2363,21,7.25,11.06,750,443,512,620,777,963,51100,15330,22686,567,383,377,575,225,17720,20480,24800,31080,38520,8.52,9.85,11.92,14.94,18.52,47,54,66,82,102,31,36,43,54,67
COUNTY,4,KY,Kentucky,Nelson County,17236,4076,24,7.25,10.58,750,501,527,701,966,1017,62100,18630,29167,729,466,377,550,225,20040,21080,28040,38640,40680,9.63,10.13,13.48,18.58,19.56,53,56,74,102,108,36,38,51,70,74
COUNTY,4,KY,Kentucky,Nicholas County,2758,735,27,7.25,8.08,750,443,466,620,854,857,49500,14850,22854,571,371,377,420,225,17720,18640,24800,34160,34280,8.52,8.96,11.92,16.42,16.48,47,49,66,91,91,42,44,59,81,82
COUNTY,4,KY,Kentucky,Ohio County,8930,2015,23,7.25,8.46,750,443,479,620,804,983,47500,14250,21770,544,356,377,440,225,17720,19160,24800,32160,39320,8.52,9.21,11.92,15.46,18.9,47,51,66,85,104,40,44,56,73,89
COUNTY,4,KY,Kentucky,Oldham County,20148,3073,15,7.25,8.62,750,578,656,821,1119,1259,71500,21450,36959,924,536,377,448,225,23120,26240,32840,44760,50360,11.12,12.62,15.79,21.52,24.21,61,70,87,119,134,52,59,73,100,112
COUNTY,4,KY,Kentucky,Owen County,3946,1027,26,7.25,10.71,750,451,480,631,846,872,53500,16050,24717,618,401,377,557,225,18040,19200,25240,33840,34880,8.67,9.23,12.13,16.27,16.77,48,51,67,90,93,32,34,45,61,63
COUNTY,4,KY,Kentucky,Owsley County,1681,465,28,7.25,6.99,750,443,493,620,854,857,44400,13320,12580,315,333,377,363,225,17720,19720,24800,34160,34280,8.52,9.48,11.92,16.42,16.48,47,52,66,91,91,49,54,68,94,94
COUNTY,4,KY,Kentucky,Pendleton County,5296,1139,22,7.25,14.03,750,556,643,845,1178,1370,78300,23490,34193,855,587,377,730,225,22240,25720,33800,47120,54800,10.69,12.37,16.25,22.65,26.35,59,68,90,125,145,30,35,46,65,75
COUNTY,4,KY,Kentucky,Perry County,11073,2964,27,7.25,11.84,750,443,493,620,841,844,45000,13500,20715,518,338,377,616,225,17720,19720,24800,33640,33760,8.52,9.48,11.92,16.17,16.23,47,52,66,89,90,29,32,40,55,55
COUNTY,4,KY,Kentucky,Pike County,25861,7046,27,7.25,12.37,750,482,507,674,845,918,43600,13080,20093,502,327,377,643,225,19280,20280,26960,33800,36720,9.27,9.75,12.96,16.25,17.65,51,54,72,90,97,30,32,42,53,57
COUNTY,4,KY,Kentucky,Powell County,4794,1484,31,7.25,7.34,750,443,502,620,821,844,51700,15510,17068,427,388,377,382,225,17720,20080,24800,32840,33760,8.52,9.65,11.92,15.79,16.23,47,53,66,87,90,46,53,65,86,88
COUNTY,4,KY,Kentucky,Pulaski County,25567,7774,30,7.25,9.21,750,425,490,627,797,854,47500,14250,19042,476,356,377,479,225,17000,19600,25080,31880,34160,8.17,9.42,12.06,15.33,16.42,45,52,67,85,91,35,41,52,67,71
COUNTY,4,KY,Kentucky,Robertson County †,961,208,22,7.25,,750,480,556,672,843,929,50700,15210,25118,628,380,377,,225,19200,22240,26880,33720,37160,9.23,10.69,12.92,16.21,17.87,51,59,71,89,99,,,,,
COUNTY,4,KY,Kentucky,Rockcastle County,6488,1539,24,7.25,9.57,750,468,471,620,857,1002,43900,13170,20156,504,329,377,497,225,18720,18840,24800,34280,40080,9,9.06,11.92,16.48,19.27,50,50,66,91,106,38,38,50,69,81
COUNTY,4,KY,Kentucky,Rowan County,8473,3259,38,7.25,8.23,750,510,598,714,895,1052,53400,16020,19392,485,401,377,428,225,20400,23920,28560,35800,42080,9.81,11.5,13.73,17.21,20.23,54,63,76,95,112,48,56,67,84,98
COUNTY,4,KY,Kentucky,Russell County,7081,1814,26,7.25,8.61,750,503,506,620,813,1092,40800,12240,19353,484,306,377,448,225,20120,20240,24800,32520,43680,9.67,9.73,11.92,15.63,21,53,54,66,86,116,45,45,55,73,98
COUNTY,4,KY,Kentucky,Scott County,18913,5804,31,7.25,15.75,750,568,639,820,1159,1444,70100,21030,38150,954,526,377,819,225,22720,25560,32800,46360,57760,10.92,12.29,15.77,22.29,27.77,60,68,87,123,153,28,31,40,57,71
COUNTY,4,KY,Kentucky,Shelby County,16123,5095,32,7.25,10.32,750,564,601,800,1129,1366,75200,22560,33584,840,564,377,537,225,22560,24040,32000,45160,54640,10.85,11.56,15.38,21.71,26.27,60,64,85,120,145,42,45,60,84,102
COUNTY,4,KY,Kentucky,Simpson County,6958,2586,37,7.25,11.12,750,500,592,699,877,952,52200,15660,25942,649,392,377,578,225,20000,23680,27960,35080,38080,9.62,11.38,13.44,16.87,18.31,53,63,74,93,101,35,41,48,61,66
COUNTY,4,KY,Kentucky,Spencer County,6448,1017,16,7.25,8.6,750,578,656,821,1119,1259,71500,21450,32580,815,536,377,447,225,23120,26240,32840,44760,50360,11.12,12.62,15.79,21.52,24.21,61,70,87,119,134,52,59,73,100,113
COUNTY,4,KY,Kentucky,Taylor County,9745,3542,36,7.25,8.65,750,447,489,626,788,929,44100,13230,18667,467,331,377,450,225,17880,19560,25040,31520,37160,8.6,9.4,12.04,15.15,17.87,47,52,66,84,99,40,44,56,70,83
COUNTY,4,KY,Kentucky,Todd County,4534,1230,27,7.25,9.35,750,457,541,639,801,870,52800,15840,25831,646,396,377,486,225,18280,21640,25560,32040,34800,8.79,10.4,12.29,15.4,16.73,48,57,68,85,92,38,45,53,66,72
COUNTY,4,KY,Kentucky,Trigg County,5977,1120,19,7.25,8.64,750,544,660,838,1169,1314,55400,16620,26428,661,416,377,449,225,21760,26400,33520,46760,52560,10.46,12.69,16.12,22.48,25.27,58,70,89,124,139,48,59,75,104,117
COUNTY,4,KY,Kentucky,Trimble County,3555,865,24,7.25,13.82,750,578,656,821,1119,1259,71500,21450,25878,647,536,377,718,225,23120,26240,32840,44760,50360,11.12,12.62,15.79,21.52,24.21,61,70,87,119,134,32,37,46,62,70
COUNTY,4,KY,Kentucky,Union County,5565,1599,29,7.25,12.66,750,525,540,620,849,1092,51200,15360,25634,641,384,377,658,225,21000,21600,24800,33960,43680,10.1,10.38,11.92,16.33,21,56,57,66,90,116,32,33,38,52,66
COUNTY,4,KY,Kentucky,Warren County,45974,19597,43,7.25,12.51,750,581,612,777,1054,1327,57400,17220,30039,751,431,377,651,225,23240,24480,31080,42160,53080,11.17,11.77,14.94,20.27,25.52,62,65,82,112,141,36,38,48,65,82
COUNTY,4,KY,Kentucky,Washington County,4490,1069,24,7.25,9.53,750,461,529,645,809,1105,53300,15990,22529,563,400,377,496,225,18440,21160,25800,32360,44200,8.87,10.17,12.4,15.56,21.25,49,56,68,86,117,37,43,52,65,89
COUNTY,4,KY,Kentucky,Wayne County,7842,2314,30,7.25,7.47,750,443,535,620,841,844,38300,11490,15634,391,287,377,388,225,17720,21400,24800,33640,33760,8.52,10.29,11.92,16.17,16.23,47,57,66,89,90,46,55,64,87,87
COUNTY,4,KY,Kentucky,Webster County,5136,1531,30,7.25,18.21,750,443,490,620,857,860,52800,15840,28515,713,396,377,947,225,17720,19600,24800,34280,34400,8.52,9.42,11.92,16.48,16.54,47,52,66,91,91,19,21,26,36,36
COUNTY,4,KY,Kentucky,Whitley County,12708,4011,32,7.25,12.37,750,457,481,639,801,1078,39400,11820,22295,557,296,377,643,225,18280,19240,25560,32040,43120,8.79,9.25,12.29,15.4,20.73,48,51,68,85,114,28,30,40,50,67
COUNTY,4,KY,Kentucky,Wolfe County,2899,1044,36,7.25,5.98,750,443,466,620,777,857,32400,9720,10551,264,243,377,311,225,17720,18640,24800,31080,34280,8.52,8.96,11.92,14.94,16.48,47,49,66,82,91,57,60,80,100,110
COUNTY,4,KY,Kentucky,Woodford County,9976,3058,31,7.25,12.41,750,568,639,820,1159,1444,70100,21030,36166,904,526,377,645,225,22720,25560,32800,46360,57760,10.92,12.29,15.77,22.29,27.77,60,68,87,123,153,35,40,51,72,90
STATE,1,LA,Louisiana,,1731398,598613,35,7.25,14.07,750,623,717,865,1117,1298,62538,18761,28832,721,469,377,732,225,24903,28688,34597,44698,51903,11.97,13.79,16.63,21.49,24.95,66,76,92,119,138,34,39,47,61,71
NONMETRO,2,LA,Louisiana,,279483,93010,33,7.25,10.62,750,556,579,738,972,1105,48829,14649,22079,552,366,377,552,225,22241,23163,29512,38863,44218,10.69,11.14,14.19,18.68,21.26,59,61,78,103,117,40,42,53,70,80
METRO,3,LA,Louisiana,Acadia Parish HMFA,22655,6547,29,7.25,9.42,750,480,511,680,931,1023,49400,14820,23492,587,371,377,490,225,19200,20440,27200,37240,40920,9.23,9.83,13.08,17.9,19.67,51,54,72,99,109,39,42,56,76,84
METRO,3,LA,Louisiana,Alexandria MSA,55440,20443,37,7.25,12.14,750,536,600,750,991,1161,55400,16620,28583,715,416,377,631,225,21440,24000,30000,39640,46440,10.31,11.54,14.42,19.06,22.33,57,64,80,105,123,34,38,48,63,74
METRO,3,LA,Louisiana,Baton Rouge HMFA,290027,94419,33,7.25,14.87,750,647,789,906,1155,1459,74800,22440,32991,825,561,377,773,225,25880,31560,36240,46200,58360,12.44,15.17,17.42,22.21,28.06,69,84,96,123,155,33,41,47,60,75
METRO,3,LA,Louisiana,Hammond MSA,46068,14840,32,7.25,8.6,750,631,635,831,1042,1132,63300,18990,23734,593,475,377,447,225,25240,25400,33240,41680,45280,12.13,12.21,15.98,20.04,21.77,67,67,88,111,120,56,57,74,93,101
METRO,3,LA,Louisiana,Houma-Thibodaux MSA,75786,19852,26,7.25,17.52,750,646,650,824,1156,1406,61600,18480,35344,884,462,377,911,225,25840,26000,32960,46240,56240,12.42,12.5,15.85,22.23,27.04,69,69,87,123,149,28,29,36,51,62
METRO,3,LA,Louisiana,Iberia Parish HMFA,26185,7916,30,7.25,13.82,750,580,584,759,952,1047,57600,17280,27509,688,432,377,719,225,23200,23360,30360,38080,41880,11.15,11.23,14.6,18.31,20.13,62,62,81,101,111,32,32,42,53,58
METRO,3,LA,Louisiana,Iberville Parish HMFA,11162,2703,24,7.25,19.83,750,510,580,708,888,964,59900,17970,26914,673,449,377,1031,225,20400,23200,28320,35520,38560,9.81,11.15,13.62,17.08,18.54,54,62,75,94,102,20,22,27,34,37
METRO,3,LA,Louisiana,Lafayette HMFA,108556,35285,33,7.25,13.59,750,618,751,865,1127,1259,70400,21120,32308,808,528,377,707,225,24720,30040,34600,45080,50360,11.88,14.44,16.63,21.67,24.21,66,80,92,120,134,35,43,49,64,71
METRO,3,LA,Louisiana,Lake Charles MSA,78923,24740,31,7.25,15.43,750,514,638,791,1017,1158,60000,18000,29294,732,450,377,802,225,20560,25520,31640,40680,46320,9.88,12.27,15.21,19.56,22.27,55,68,84,108,123,26,32,39,51,58
METRO,3,LA,Louisiana,Monroe MSA,65097,24668,38,7.25,10.67,750,563,566,728,926,1004,52200,15660,22680,567,392,377,555,225,22520,22640,29120,37040,40160,10.83,10.88,14,17.81,19.31,60,60,77,98,107,41,41,53,67,72
METRO,3,LA,Louisiana,New Orleans-Metairie HMFA,471254,183887,39,7.25,15.64,750,708,827,996,1277,1477,65600,19680,30506,763,492,377,813,225,28320,33080,39840,51080,59080,13.62,15.9,19.15,24.56,28.4,75,88,106,135,157,35,41,49,63,73
METRO,3,LA,Louisiana,Shreveport-Bossier City HMFA,155261,58426,38,7.25,12.13,750,570,710,820,1040,1175,62700,18810,28539,713,470,377,631,225,22800,28400,32800,41600,47000,10.96,13.65,15.77,20,22.6,60,75,87,110,125,36,45,52,66,74
METRO,3,LA,Louisiana,St. James Parish HMFA,7952,1823,23,7.25,18.94,750,484,592,680,982,1198,64500,19350,28131,703,484,377,985,225,19360,23680,27200,39280,47920,9.31,11.38,13.08,18.88,23.04,51,63,72,104,127,20,24,28,40,49
METRO,3,LA,Louisiana,Vermilion Parish HMFA,21743,5371,25,7.25,11.37,750,484,592,680,984,987,60300,18090,28822,721,452,377,591,225,19360,23680,27200,39360,39480,9.31,11.38,13.08,18.92,18.98,51,63,72,104,105,33,40,46,67,67
METRO,3,LA,Louisiana,Webster Parish HMFA,15806,4683,30,7.25,12.24,750,477,592,680,931,973,46600,13980,21467,537,350,377,636,225,19080,23680,27200,37240,38920,9.17,11.38,13.08,17.9,18.71,51,63,72,99,103,30,37,43,59,61
COUNTY,4,LA,Louisiana,Acadia Parish,22655,6547,29,7.25,9.42,750,480,511,680,931,1023,49400,14820,23492,587,371,377,490,225,19200,20440,27200,37240,40920,9.23,9.83,13.08,17.9,19.67,51,54,72,99,109,39,42,56,76,84
COUNTY,4,LA,Louisiana,Allen Parish,7881,2066,26,7.25,8.81,750,576,580,680,923,926,54500,16350,22772,569,409,377,458,225,23040,23200,27200,36920,37040,11.08,11.15,13.08,17.75,17.81,61,62,72,98,98,50,51,59,81,81
COUNTY,4,LA,Louisiana,Ascension Parish,40663,7897,19,7.25,15.12,750,647,789,906,1155,1459,74800,22440,40602,1015,561,377,786,225,25880,31560,36240,46200,58360,12.44,15.17,17.42,22.21,28.06,69,84,96,123,155,33,40,46,59,74
COUNTY,4,LA,Louisiana,Assumption Parish,8676,1740,20,7.25,10.06,750,598,601,706,991,1062,62900,18870,23571,589,472,377,523,225,23920,24040,28240,39640,42480,11.5,11.56,13.58,19.06,20.42,63,64,75,105,113,46,46,54,76,81
COUNTY,4,LA,Louisiana,Avoyelles Parish,15016,4621,31,7.25,8.25,750,446,535,699,919,1074,44600,13380,20435,511,335,377,429,225,17840,21400,27960,36760,42960,8.58,10.29,13.44,17.67,20.65,47,57,74,98,114,42,50,65,86,100
COUNTY,4,LA,Louisiana,Beauregard Parish,13106,3148,24,7.25,10.94,750,576,589,680,969,1198,62500,18750,27290,682,469,377,569,225,23040,23560,27200,38760,47920,11.08,11.33,13.08,18.63,23.04,61,62,72,103,127,41,41,48,68,84
COUNTY,4,LA,Louisiana,Bienville Parish,5738,1636,29,7.25,8.45,750,576,592,680,923,926,44400,13320,17430,436,333,377,440,225,23040,23680,27200,36920,37040,11.08,11.38,13.08,17.75,17.81,61,63,72,98,98,52,54,62,84,84
COUNTY,4,LA,Louisiana,Bossier Parish,47505,16913,36,7.25,12.11,750,570,710,820,1040,1175,62700,18810,37418,935,470,377,630,225,22800,28400,32800,41600,47000,10.96,13.65,15.77,20,22.6,60,75,87,110,125,36,45,52,66,75
COUNTY,4,LA,Louisiana,Caddo Parish,97497,38726,40,7.25,12.23,750,570,710,820,1040,1175,62700,18810,25440,636,470,377,636,225,22800,28400,32800,41600,47000,10.96,13.65,15.77,20,22.6,60,75,87,110,125,36,45,52,65,74
COUNTY,4,LA,Louisiana,Calcasieu Parish,76270,24472,32,7.25,14.4,750,514,638,791,1017,1158,60000,18000,29173,729,450,377,749,225,20560,25520,31640,40680,46320,9.88,12.27,15.21,19.56,22.27,55,68,84,108,123,27,34,42,54,62
COUNTY,4,LA,Louisiana,Caldwell Parish,3635,857,24,7.25,7.87,750,576,592,680,989,1157,49900,14970,14827,371,374,377,409,225,23040,23680,27200,39560,46280,11.08,11.38,13.08,19.02,22.25,61,63,72,105,123,56,58,67,97,113
COUNTY,4,LA,Louisiana,Cameron Parish,2653,268,10,7.25,23.47,750,514,638,791,1017,1158,60000,18000,40352,1009,450,377,1220,225,20560,25520,31640,40680,46320,9.88,12.27,15.21,19.56,22.27,55,68,84,108,123,17,21,26,33,38
COUNTY,4,LA,Louisiana,Catahoula Parish,3731,954,26,7.25,8.18,750,512,516,680,950,1198,53400,16020,19540,488,401,377,426,225,20480,20640,27200,38000,47920,9.85,9.92,13.08,18.27,23.04,54,55,72,101,127,48,48,64,89,113
COUNTY,4,LA,Louisiana,Claiborne Parish,5828,1956,34,7.25,9.37,750,508,511,680,989,1198,43900,13170,15673,392,329,377,487,225,20320,20440,27200,39560,47920,9.77,9.83,13.08,19.02,23.04,54,54,72,105,127,42,42,56,81,98
COUNTY,4,LA,Louisiana,Concordia Parish,7579,2968,39,7.25,10.68,750,521,525,680,907,1023,44300,13290,20359,509,332,377,555,225,20840,21000,27200,36280,40920,10.02,10.1,13.08,17.44,19.67,55,56,72,96,109,38,38,49,65,74
COUNTY,4,LA,Louisiana,De Soto Parish,10259,2787,27,7.25,10.32,750,570,710,820,1040,1175,62700,18810,17708,443,470,377,537,225,22800,28400,32800,41600,47000,10.96,13.65,15.77,20,22.6,60,75,87,110,125,42,53,61,77,88
COUNTY,4,LA,Louisiana,East Baton Rouge Parish,168561,69177,41,7.25,15.27,750,647,789,906,1155,1459,74800,22440,31669,792,561,377,794,225,25880,31560,36240,46200,58360,12.44,15.17,17.42,22.21,28.06,69,84,96,123,155,33,40,46,58,74
COUNTY,4,LA,Louisiana,East Carroll Parish,2557,1477,58,7.25,9.32,750,508,511,680,853,1023,29600,8880,15844,396,222,377,485,225,20320,20440,27200,34120,40920,9.77,9.83,13.08,16.4,19.67,54,54,72,91,109,42,42,56,70,84
COUNTY,4,LA,Louisiana,East Feliciana Parish,6822,1265,19,7.25,10.35,750,647,789,906,1155,1459,74800,22440,28420,710,561,377,538,225,25880,31560,36240,46200,58360,12.44,15.17,17.42,22.21,28.06,69,84,96,123,155,48,59,67,86,108
COUNTY,4,LA,Louisiana,Evangeline Parish,11871,3943,33,7.25,9.91,750,508,511,680,885,1151,42000,12600,18475,462,315,377,515,225,20320,20440,27200,35400,46040,9.77,9.83,13.08,17.02,22.13,54,54,72,94,122,39,40,53,69,89
COUNTY,4,LA,Louisiana,Franklin Parish,7520,2350,31,7.25,6.58,750,508,511,680,853,1023,45600,13680,16669,417,342,377,342,225,20320,20440,27200,34120,40920,9.77,9.83,13.08,16.4,19.67,54,54,72,91,109,59,60,80,100,120
COUNTY,4,LA,Louisiana,Grant Parish,7286,2009,28,7.25,12.18,750,536,600,750,991,1161,55400,16620,34393,860,416,377,633,225,21440,24000,30000,39640,46440,10.31,11.54,14.42,19.06,22.33,57,64,80,105,123,34,38,47,63,73
COUNTY,4,LA,Louisiana,Iberia Parish,26185,7916,30,7.25,13.82,750,580,584,759,952,1047,57600,17280,27509,688,432,377,719,225,23200,23360,30360,38080,41880,11.15,11.23,14.6,18.31,20.13,62,62,81,101,111,32,32,42,53,58
COUNTY,4,LA,Louisiana,Iberville Parish,11162,2703,24,7.25,19.83,750,510,580,708,888,964,59900,17970,26914,673,449,377,1031,225,20400,23200,28320,35520,38560,9.81,11.15,13.62,17.08,18.54,54,62,75,94,102,20,22,27,34,37
COUNTY,4,LA,Louisiana,Jackson Parish,6052,1852,31,7.25,8.44,750,529,532,680,927,1198,47800,14340,17291,432,359,377,439,225,21160,21280,27200,37080,47920,10.17,10.23,13.08,17.83,23.04,56,56,72,98,127,48,48,62,84,109
COUNTY,4,LA,Louisiana,Jefferson Parish,169192,65264,39,7.25,15.19,750,708,827,996,1277,1477,65600,19680,33235,831,492,377,790,225,28320,33080,39840,51080,59080,13.62,15.9,19.15,24.56,28.4,75,88,106,135,157,36,42,50,65,75
COUNTY,4,LA,Louisiana,Jefferson Davis Parish,11554,3338,29,7.25,9.85,750,576,592,680,970,973,54000,16200,23064,577,405,377,512,225,23040,23680,27200,38800,38920,11.08,11.38,13.08,18.65,18.71,61,63,72,103,103,45,46,53,76,76
COUNTY,4,LA,Louisiana,Lafayette Parish,89288,31296,35,7.25,13.74,750,618,751,865,1127,1259,70400,21120,32665,817,528,377,714,225,24720,30040,34600,45080,50360,11.88,14.44,16.63,21.67,24.21,66,80,92,120,134,35,42,48,63,71
COUNTY,4,LA,Louisiana,Lafourche Parish,35961,8912,25,7.25,14.73,750,646,650,824,1156,1406,61600,18480,31770,794,462,377,766,225,25840,26000,32960,46240,56240,12.42,12.5,15.85,22.23,27.04,69,69,87,123,149,34,34,43,60,73
COUNTY,4,LA,Louisiana,La Salle Parish,5320,1276,24,7.25,10.46,750,522,525,680,886,1023,52800,15840,21189,530,396,377,544,225,20880,21000,27200,35440,40920,10.04,10.1,13.08,17.04,19.67,55,56,72,94,109,38,39,50,65,75
COUNTY,4,LA,Louisiana,Lincoln Parish,17144,7872,46,7.25,9.25,750,648,652,783,1025,1066,55900,16770,19231,481,419,377,481,225,25920,26080,31320,41000,42640,12.46,12.54,15.06,19.71,20.5,69,69,83,109,113,54,54,65,85,89
COUNTY,4,LA,Louisiana,Livingston Parish,48014,9804,20,7.25,12.1,750,647,789,906,1155,1459,74800,22440,40229,1006,561,377,629,225,25880,31560,36240,46200,58360,12.44,15.17,17.42,22.21,28.06,69,84,96,123,155,41,50,58,73,93
COUNTY,4,LA,Louisiana,Madison Parish,4080,1896,46,7.25,7.5,750,508,511,680,853,926,33500,10050,15326,383,251,377,390,225,20320,20440,27200,34120,37040,9.77,9.83,13.08,16.4,17.81,54,54,72,91,98,52,52,70,88,95
COUNTY,4,LA,Louisiana,Morehouse Parish,10273,3602,35,7.25,9.14,750,576,592,680,925,1023,39200,11760,19096,477,294,377,476,225,23040,23680,27200,37000,40920,11.08,11.38,13.08,17.79,19.67,61,63,72,98,109,48,50,57,78,86
COUNTY,4,LA,Louisiana,Natchitoches Parish,14393,6425,45,7.25,8.04,750,573,577,767,1001,1045,46800,14040,15948,399,351,377,418,225,22920,23080,30680,40040,41800,11.02,11.1,14.75,19.25,20.1,61,61,81,106,111,55,55,73,96,100
COUNTY,4,LA,Louisiana,Orleans Parish,154844,83055,54,7.25,16.09,750,708,827,996,1277,1477,65600,19680,25943,649,492,377,837,225,28320,33080,39840,51080,59080,13.62,15.9,19.15,24.56,28.4,75,88,106,135,157,34,40,48,61,71
COUNTY,4,LA,Louisiana,Ouachita Parish,56903,23000,40,7.25,10.99,750,563,566,728,926,1004,52200,15660,23250,581,392,377,572,225,22520,22640,29120,37040,40160,10.83,10.88,14,17.81,19.31,60,60,77,98,107,39,40,51,65,70
COUNTY,4,LA,Louisiana,Plaquemines Parish,8644,2592,30,7.25,29.43,750,708,827,996,1277,1477,65600,19680,46535,1163,492,377,1530,225,28320,33080,39840,51080,59080,13.62,15.9,19.15,24.56,28.4,75,88,106,135,157,19,22,26,33,39
COUNTY,4,LA,Louisiana,Pointe Coupee Parish,8802,2113,24,7.25,9.6,750,647,789,906,1155,1459,74800,22440,25671,642,561,377,499,225,25880,31560,36240,46200,58360,12.44,15.17,17.42,22.21,28.06,69,84,96,123,155,52,63,73,93,117
COUNTY,4,LA,Louisiana,Rapides Parish,48154,18434,38,7.25,12.14,750,536,600,750,991,1161,55400,16620,27950,699,416,377,631,225,21440,24000,30000,39640,46440,10.31,11.54,14.42,19.06,22.33,57,64,80,105,123,34,38,48,63,74
